,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
ln_invention_apply,37697.0,0.44635939944071834,1.1613656529096699,0.0,0.0,0.0,0.0,0.0,0.0,3.49650756146648,5.075173815233827,5.075173815233827
ln_invention_grant,37697.0,0.35538873387621245,0.9412279782115456,0.0,0.0,0.0,0.0,0.0,0.0,2.772588722239781,4.343805421853684,4.343805421853684
ln_patent_apply_total,37697.0,0.6392736882239264,1.5126923999303477,0.0,0.0,0.0,0.0,0.0,0.0,4.456659460733689,6.028182018374481,6.028182018374481
ln_patent_grant_total,37697.0,0.5736600125380493,1.4028819092284224,0.0,0.0,0.0,0.0,0.0,0.0,4.189654742026425,5.713467903878943,5.713467903878943
rd_intensity,32893.0,5.879842473407308,6.548359715215313,0.0289410320203786,0.0289410320203786,0.20608502399217515,2.3066395394202246,4.099315701801671,6.676813560428048,19.00653678768928,39.935504699677615,40.14319500286057
ln_rd_staff,37697.0,4.600378232666552,2.2759573954172803,0.0,0.0,0.0,4.007333185232471,5.1298987149230735,6.030685260261263,7.498980445299988,8.732917087356965,8.738780172119448
rd_staff_ratio,31885.0,17.359467282421203,13.919511493102446,0.4,0.4,1.66,8.94,13.77,21.38,47.07199999999997,71.9464,71.98839999999997
ln_assets,37697.0,22.25374637692007,1.5182463508850697,19.04066623402238,19.08079824102283,20.145769113922203,21.24047582045728,22.029866406826013,23.0434476306736,25.109384635354623,27.237655099069,27.265108840269427
roa,37695.0,0.03572682993458077,0.08638726328658873,-0.3513654918020112,-0.3513654918020112,-0.1145324540775102,0.0110577364301522,0.0404945218617602,0.07765317773130476,0.1552082752398584,0.2463807774797201,0.2463807774797201
firm_age,36605.0,21.0272640349679,6.419420574287987,3.0,8.0,11.0,17.0,21.0,25.0,31.0,38.0,70.0
cashflow_ratio,37694.0,0.04721724524511303,0.07059817781890146,-0.1718021094883041,-0.1718021094883041,-0.06837713036900463,0.0084376435596517,0.0464243447697935,0.0872397573928205,0.16469035442364854,0.2519741206271185,0.2519741206271185
ln_rd_subsidy,37697.0,8.577449649679094,7.341527148608094,0.0,0.0,0.0,0.0,12.820179324373711,15.082512909248685,16.949307672357126,18.08737366398228,18.08737366398228
ln_total_subsidy,37697.0,15.167431703264413,5.693107329513865,0.0,0.0,0.0,15.697812075686164,16.964198781082317,17.998037084521222,19.620010789397096,20.871970880863746,20.871970880863746
province_sci_tech_ratio,36569.0,4.114417949629468,1.7801659785175565,0.31,0.67,0.9440000000000008,2.56,4.6,5.48,6.55,6.76,6.76
province_rd_intensity,35636.0,2.915765843901709,1.2564039392446464,0.2099927588703837,0.4904615525434588,1.022285831118381,2.202922840564253,2.769171213959756,3.36328036700174,6.04255186528013,6.600335815035978,6.600335815035978
did_x_prov_sci_tech,36569.0,1.6278145423719546,2.328940361318908,0.0,0.0,0.0,0.0,0.0,3.96,6.19,6.54,6.55
