,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
ln_invention_apply,26772.0,0.3881343155742927,1.0801053735069859,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,4.962844630259907,5.075173815233827
ln_invention_grant,26772.0,0.2982326690725594,0.8541059452045792,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,4.219507705176107,4.343805421853684
ln_patent_apply_total,26772.0,0.580468649943934,1.4485988143867603,0.0,0.0,0.0,0.0,0.0,0.0,4.31748811353631,5.994683719087183,6.028182018374481
ln_patent_grant_total,26772.0,0.5277253105906852,1.352537420084321,0.0,0.0,0.0,0.0,0.0,0.0,4.0943445622221,5.713467903878943,5.713467903878943
invention_apply,26772.0,9.784961900493052,157.66032512674653,0.0,0.0,0.0,0.0,0.0,0.0,25.0,142.0,8860.0
invention_grant,26772.0,4.434334379202151,55.82169820915824,0.0,0.0,0.0,0.0,0.0,0.0,11.0,67.0,3270.0
patent_apply_total,26772.0,29.356566562079784,364.4147105840236,0.0,0.0,0.0,0.0,0.0,0.0,74.0,400.2900000000009,16934.0
patent_grant_total,26772.0,20.83105483340804,240.93489675952617,0.0,0.0,0.0,0.0,0.0,0.0,59.0,313.58000000000175,13398.0
rd_intensity,22829.0,5.441885478090501,5.944778915341016,0.0289410320203786,0.0289410320203786,0.1847031982246886,2.144719972192924,3.949738824032504,6.263591860327507,16.610526807565286,33.573273329714866,40.14319500286057
ln_rd_staff,26772.0,4.461224200542493,2.374863360781548,0.0,0.0,0.0,3.80666248977032,5.081404364984463,6.008813185442595,7.449439662812681,8.687460115991634,8.738780172119448
rd_staff_ratio,21953.0,17.04562504896825,13.917642792059734,0.4,0.4,1.56,8.49,13.46,21.01,47.11,70.91439999999999,71.98839999999997
ln_assets,26772.0,22.21740871782732,1.538587502644371,19.04066623402238,19.04066623402238,20.013579867751094,21.19541063145939,22.017901100276667,23.030863815889763,25.084223077613853,27.14984300550063,27.265108840269427
roa,26771.0,0.04100083329878505,0.08934103025340968,-0.3513654918020112,-0.3513654918020112,-0.11425721058579175,0.01504025963576825,0.0452507037065289,0.08361182131456754,0.1653247255040313,0.2463807774797201,0.2463807774797201
firm_age,25831.0,20.304711393287135,6.198549330816017,3.0,7.0,11.0,16.0,20.0,24.0,30.0,37.0,68.0
cashflow_ratio,26770.0,0.0482354135813538,0.0722656052153397,-0.1718021094883041,-0.1718021094883041,-0.06995775593715811,0.008435453816879124,0.0471778400761636,0.08907160430021614,0.16943915479644495,0.2519741206271185,0.2519741206271185
ln_rd_subsidy,26772.0,9.681123230825241,7.120356347427083,0.0,0.0,0.0,0.0,13.632895344523124,15.350912853957901,17.084179503510796,18.08737366398228,18.08737366398228
ln_total_subsidy,26772.0,14.699496589197391,6.209058966874834,0.0,0.0,0.0,15.55555312167088,16.93448976117512,17.967654013549286,19.56914907131996,20.863667612224134,20.871970880863746
policy_exposure,22342.0,21.99863650579644,1783.0499796401064,0.0,0.0,0.0,0.0,0.0,0.08154958813757537,6.620284734806463,14.352630101897589,185975.5318603673
pre_rd_intensity,22342.0,37.632975923226944,2190.289493789494,0.0002266137016572,0.0193880969198147,0.158041250247904,1.9144931042816,3.774792184887664,5.801370134696657,14.7417956723917,27.30528801619831,185975.5318603673
province_sci_tech_ratio,25813.0,3.971912602177198,1.7473329112120055,0.32,0.61,0.93,2.45,4.4,5.31,6.54,6.76,6.76
province_rd_intensity,25813.0,2.75496380033528,1.2324054383896774,0.2099927588703837,0.4663073578894083,0.9141255376374592,2.0752718179836527,2.654896791095833,3.0790548167129885,5.919866533613486,6.287370860458534,6.287370860458534
manufacturing,26772.0,0.625280143433438,0.4840595395729384,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
soe,25159.0,0.08470129973369371,0.2784422223028732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
hightech_manufacturing,26772.0,0.40986851934857316,0.4918184128394878,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
high_pre_rd,22342.0,0.501163727508728,0.5000098357693681,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
