dependent,event_year,coef,se,p,ci_lower,ci_upper,N
ln_invention_apply,event_2017,0.0029485616017877994,0.031819947303921764,0.9261714168438111,-0.05941853511389886,0.06531565831747446,26770
ln_invention_apply,event_2018,-0.03448475456339939,0.02968035872491633,0.24530076557839298,-0.09265825766423538,0.02368874853743661,26770
ln_invention_apply,event_2019,-0.015041143721125411,0.02897633435289794,0.603707733031106,-0.07183475905280537,0.04175247161055455,26770
ln_invention_apply,event_2021,-0.033036093667267216,0.026258007738528016,0.20835703675737438,-0.08450178883478213,0.018429601500247694,26770
ln_invention_apply,event_2022,-0.03514672493264712,0.02975287918291383,0.2375014113829519,-0.09346236813115823,0.02316891826586398,26770
ln_rd_expense,event_2017,1.7129116074914563,0.21382383958216777,1.1102230246251565e-15,1.2938168819104074,2.132006333072505,26770
ln_rd_expense,event_2018,1.1092413619336121,0.16486262604097235,1.7603252189246632e-11,0.7861106148933064,1.4323721089739179,26770
ln_rd_expense,event_2019,0.8699124666667399,0.12970486371440682,2.0382806553698174e-11,0.6156909337865026,1.1241339995469772,26770
ln_rd_expense,event_2021,0.23842529411997568,0.12578521831615322,0.058040300087038865,-0.008113733779684634,0.484964322019636,26770
ln_rd_expense,event_2022,0.23872058587427683,0.15146863212011424,0.11503145507447332,-0.058157933081147056,0.5355991048297007,26770
ln_rd_staff,event_2017,0.3381756406999137,0.06159612301246642,4.060280200945954e-08,0.2174472395954795,0.45890404180434785,26770
ln_rd_staff,event_2018,0.2250062787928062,0.049529697618371976,5.580090495449497e-06,0.12792807146079715,0.3220844861248153,26770
ln_rd_staff,event_2019,0.21667062167082704,0.04002140238511769,6.234241523017658e-08,0.13822867299599637,0.29511257034565774,26770
ln_rd_staff,event_2021,0.06705681087422596,0.04360204783136769,0.12408103303649254,-0.01840320287525471,0.15251682462370664,26770
ln_rd_staff,event_2022,-0.010928759212263241,0.04904214301853195,0.8236588645265832,-0.10705135952858587,0.08519384110405938,26770
eff_apply_rd_10k,event_2017,-0.7063605458550222,0.10192736101649244,4.326983216174085e-12,-0.9061381734473474,-0.506582918262697,26770
eff_apply_rd_10k,event_2018,-0.5141845662443378,0.0804819112580105,1.706186303351842e-10,-0.6719291123100384,-0.35644002017863724,26770
eff_apply_rd_10k,event_2019,-0.4098804652859908,0.06512405246915773,3.1572833236737097e-10,-0.5375236081255399,-0.2822373224464417,26770
eff_apply_rd_10k,event_2021,-0.2007079905658127,0.06289042556766362,0.0014179402290088738,-0.3239732246784334,-0.077442756453192,26770
eff_apply_rd_10k,event_2022,-0.20465421561303507,0.07488218580357152,0.006280891844406611,-0.3514232997880352,-0.05788513143803489,26770
eff_apply_staff,event_2017,-0.3326828144738908,0.06856033966934028,1.2283096684218009e-06,-0.46706108022579773,-0.19830454872198386,26770
eff_apply_staff,event_2018,-0.2580260575969261,0.05757159221910118,7.439040982770706e-06,-0.3708663783463644,-0.14518573684748778,26770
eff_apply_staff,event_2019,-0.2258250902448759,0.0497122063308973,5.58557395446968e-06,-0.3232610146534346,-0.1283891658363172,26770
eff_apply_staff,event_2021,-0.10119438164563949,0.050512343829914055,0.045151332369795405,-0.20019857555227105,-0.0021901877390079344,26770
eff_apply_staff,event_2022,-0.02008642843787414,0.05643884921341338,0.7219210680581107,-0.13070657289616436,0.09053371602041609,26770
