,count,mean,std,min,25%,50%,75%,max,missing_rate
rd_intensity,22829.0,5.441885478090501,5.944778915341016,0.0289410320203786,2.144719972192924,3.949738824032504,6.263591860327507,40.14319500286057,0.1472807410727626
rd_expense,26772.0,230216587.5230136,1130636178.6678011,0.0,12537684.879999999,47412557.01,133403610.7675,49753236000.0,0.0
rd_staff,26772.0,513.1222919468102,1880.2612339793463,0.0,44.0,160.0,406.0,69697.0,0.0
invention_apply,26772.0,9.784961900493052,157.66032512674653,0.0,0.0,0.0,0.0,8860.0,0.0
invention_grant,26772.0,4.434334379202151,55.82169820915824,0.0,0.0,0.0,0.0,3270.0,0.0
patent_apply_total,26772.0,29.356566562079784,364.4147105840236,0.0,0.0,0.0,0.0,16934.0,0.0
patent_grant_total,26772.0,20.83105483340804,240.93489675952617,0.0,0.0,0.0,0.0,13398.0,0.0
ln_invention_apply,26772.0,0.3881343155742927,1.0801053735069859,0.0,0.0,0.0,0.0,5.075173815233827,0.0
ln_invention_grant,26772.0,0.2982326690725594,0.8541059452045792,0.0,0.0,0.0,0.0,4.343805421853684,0.0
ln_rd_expense,26772.0,15.375581086010927,6.471826948491375,0.0,16.3442495354202,17.674397685389998,18.708889761663738,22.044725913144337,0.0
ln_rd_staff,26772.0,4.461224200542493,2.374863360781548,0.0,3.80666248977032,5.081404364984463,6.008813185442595,8.738780172119448,0.0
ln_assets,26772.0,22.21740871782732,1.538587502644371,19.04066623402238,21.19541063145939,22.017901100276667,23.030863815889763,27.265108840269427,0.0
roa,26771.0,0.04100083329878505,0.08934103025340968,-0.3513654918020112,0.01504025963576825,0.0452507037065289,0.08361182131456754,0.2463807774797201,3.735245779172269e-05
cashflow_ratio,26770.0,0.0482354135813538,0.0722656052153397,-0.1718021094883041,0.008435453816879124,0.0471778400761636,0.08907160430021614,0.2519741206271185,7.470491558344539e-05
firm_age,25831.0,20.304711393287135,6.198549330816017,3.0,16.0,20.0,24.0,68.0,0.03514866278201106
