数据库：分省年度数据 
时间：2011年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,2015年	,2014年	,2013年	,2012年	,2011年	,
北京市	,	,199702	,193973	,202722	,198778	,162824	,131716	,123496	,106948	,100578	,94031	,74661	,62671	,50511	,40888	,
天津市	,	,58022	,59154	,71545	,97910	,75434	,57799	,54680	,41675	,39734	,37342	,26351	,24856	,19782	,13982	,
河北省	,	,97308	,92009	,115314	,120034	,92196	,57809	,51894	,35348	,31826	,30130	,20132	,18186	,15315	,11119	,
山西省	,	,29145	,28463	,33068	,37379	,27296	,16598	,15060	,11311	,10062	,10020	,8371	,8565	,7196	,4974	,
内蒙古自治区	,	,25828	,22258	,24640	,24362	,17958	,11059	,9625	,6271	,5846	,5522	,4031	,3836	,3084	,2262	,
辽宁省	,	,68027	,67632	,77434	,80191	,60185	,40037	,35149	,26495	,25104	,25182	,19525	,21656	,21223	,19176	,
吉林省	,	,27023	,26637	,29534	,29879	,23951	,15579	,13885	,11090	,9995	,8878	,6696	,6219	,5930	,4920	,
黑龙江省	,	,28067	,27588	,36551	,38884	,28475	,19989	,19435	,18221	,18046	,18943	,15412	,19819	,20268	,12236	,
上海市	,	,150766	,159115	,178323	,179317	,139780	,100587	,92460	,72806	,64230	,60623	,50488	,48680	,51508	,47960	,
江苏省	,	,450541	,447006	,560127	,640917	,499167	,314395	,306996	,227187	,231033	,250290	,200032	,239645	,269944	,199814	,
浙江省	,	,400795	,381835	,443985	,465468	,391700	,285342	,284621	,213805	,221456	,234983	,188544	,202350	,188463	,130190	,
安徽省	,	,148388	,142638	,156584	,153475	,119696	,82524	,79747	,58213	,60983	,59039	,48380	,48849	,43321	,32681	,
福建省	,	,122246	,120264	,141536	,153814	,145928	,98955	,102622	,68304	,67142	,61621	,37857	,37511	,30497	,21857	,
江西省	,	,55760	,60120	,75830	,97372	,80239	,59140	,52819	,33029	,31472	,24161	,13831	,9970	,7985	,5550	,
山东省	,	,281580	,273523	,342290	,329838	,238778	,146481	,132382	,100522	,98093	,98101	,72818	,76976	,75496	,58844	,
河南省	,	,110654	,109957	,135990	,158038	,122809	,86247	,82318	,55407	,49145	,47766	,33366	,29482	,26791	,19259	,
湖北省	,	,128796	,135211	,160849	,155169	,110102	,73940	,64106	,46369	,41822	,38781	,28290	,28760	,24475	,19035	,
湖南省	,	,72376	,74940	,92916	,98936	,78723	,54685	,48957	,37916	,34050	,34075	,26637	,24392	,23212	,16064	,
广东省	,	,692635	,703695	,837276	,872209	,709725	,527390	,478082	,332652	,259032	,241176	,179953	,170430	,153598	,128413	,
广西壮族自治区	,	,29492	,34115	,44691	,46804	,34470	,22687	,20551	,15270	,14858	,13573	,9664	,7884	,5900	,4402	,
海南省	,	,13112	,10963	,13148	,13632	,8578	,4423	,3292	,2133	,1939	,2061	,1597	,1331	,1093	,765	,
重庆市	,	,54753	,54136	,66467	,76206	,55377	,43872	,45688	,34780	,42738	,38914	,24312	,24828	,20364	,15525	,
四川省	,	,114376	,113073	,135507	,146936	,108386	,82066	,87372	,64006	,62445	,64953	,47120	,46171	,42218	,28446	,
贵州省	,	,20650	,22149	,29382	,39267	,34971	,24729	,19456	,12559	,10425	,14115	,10107	,7915	,6059	,3386	,
云南省	,	,33754	,32718	,39497	,41167	,28943	,22324	,20340	,14230	,12032	,11658	,8124	,6804	,5853	,4199	,
西藏自治区	,	,2308	,1877	,2127	,1929	,1702	,1020	,755	,420	,245	,198	,146	,121	,133	,142	,
陕西省	,	,75634	,71562	,79375	,86272	,60524	,44101	,41479	,34554	,48455	,33350	,22820	,20836	,14908	,11662	,
甘肃省	,	,21596	,20903	,22490	,26056	,20991	,14894	,13958	,9672	,7975	,6912	,5097	,4737	,3662	,2383	,
青海省	,	,5134	,3987	,5276	,6591	,4693	,3046	,2668	,1580	,1357	,1217	,619	,502	,527	,538	,
宁夏回族自治区	,	,10650	,10363	,12452	,12885	,7710	,5555	,5658	,4244	,2677	,1865	,1424	,1211	,844	,613	,
新疆维吾尔自治区	,	,21642	,19124	,20528	,21178	,12763	,8652	,9658	,8094	,7116	,8761	,5238	,4998	,3439	,2642	,
数据来源：国家统计局
