数据库：分省年度数据 
时间：2011年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,2015年	,2014年	,2013年	,2012年	,2011年	,
北京市	,	,119635	,107875	,88127	,79210	,63266	,53127	,46978	,46091	,40602	,35308	,23237	,20695	,20140	,15880	,
天津市	,	,14985	,14319	,11745	,7376	,5262	,5025	,5626	,5844	,5185	,4624	,3279	,3141	,3326	,2528	,
河北省	,	,15787	,14213	,12022	,8621	,6365	,5130	,5126	,4927	,4247	,3840	,2286	,2008	,1933	,1469	,
山西省	,	,7116	,6557	,5026	,3915	,2987	,2300	,2284	,2382	,2411	,2432	,1559	,1332	,1297	,1114	,
内蒙古自治区	,	,4289	,3391	,2054	,1651	,1162	,911	,864	,848	,871	,797	,458	,549	,569	,364	,
辽宁省	,	,16852	,13069	,10892	,10480	,7936	,7501	,7176	,7708	,6731	,6569	,3975	,3830	,3973	,3164	,
吉林省	,	,9749	,7619	,6483	,5730	,3969	,3006	,2868	,3057	,2428	,2240	,1434	,1496	,1583	,1202	,
黑龙江省	,	,7863	,8035	,8519	,6337	,4598	,4144	,4309	,4947	,4345	,4024	,2454	,2238	,2418	,1953	,
上海市	,	,50676	,44345	,36797	,32860	,24208	,22735	,21331	,20681	,20086	,17601	,11614	,10644	,11379	,9160	,
江苏省	,	,135838	,107899	,89248	,68813	,45975	,39681	,42019	,41518	,40952	,36015	,19671	,16790	,16242	,11043	,
浙江省	,	,78477	,64760	,61286	,56796	,49888	,33964	,32550	,28742	,26576	,23345	,13372	,11139	,11571	,9135	,
安徽省	,	,32821	,30526	,26180	,23624	,21432	,14958	,14846	,12440	,15292	,11180	,5184	,4241	,3066	,2026	,
福建省	,	,22245	,17858	,16213	,12561	,10250	,8963	,9858	,8718	,7170	,5730	,3426	,2941	,2977	,1945	,
江西省	,	,10025	,10375	,8655	,6741	,4407	,2744	,2524	,2238	,1914	,1639	,1033	,923	,892	,679	,
山东省	,	,63822	,55318	,48696	,36345	,26745	,20652	,20338	,19090	,19404	,16881	,10538	,8913	,7453	,5856	,
河南省	,	,17610	,17531	,14574	,13536	,9183	,6991	,8339	,7914	,6811	,5384	,3493	,3173	,3182	,2462	,
湖北省	,	,32074	,29025	,29212	,22376	,17555	,14178	,11393	,10880	,8517	,7766	,4855	,4052	,4050	,3160	,
湖南省	,	,23593	,20133	,20423	,16564	,11537	,8479	,8261	,7909	,6967	,6776	,4160	,3613	,3353	,2606	,
广东省	,	,168813	,143141	,115080	,102850	,70695	,59742	,53259	,45740	,38626	,33477	,22276	,20084	,22153	,18242	,
广西壮族自治区	,	,6182	,6717	,5472	,4573	,3521	,3413	,4330	,4553	,5159	,4017	,1933	,1295	,902	,634	,
海南省	,	,2595	,2273	,1602	,954	,721	,530	,489	,373	,383	,417	,380	,449	,396	,272	,
重庆市	,	,14282	,13600	,12207	,9413	,7637	,6988	,6570	,6138	,5044	,3964	,2321	,2360	,2426	,1865	,
四川省	,	,31567	,33339	,25458	,19337	,14187	,12053	,11697	,11367	,10350	,9105	,5682	,4566	,4460	,3270	,
贵州省	,	,4832	,4712	,3645	,2824	,2268	,1900	,2081	,1875	,2036	,1501	,1047	,776	,635	,596	,
云南省	,	,6396	,5907	,4091	,3643	,2458	,2174	,2297	,2259	,2125	,2079	,1423	,1312	,1301	,1006	,
西藏自治区	,	,366	,299	,149	,184	,96	,79	,73	,42	,33	,40	,50	,44	,57	,27	,
陕西省	,	,24598	,22020	,18963	,15516	,12122	,9843	,8884	,8774	,7503	,6812	,4885	,4133	,4018	,3139	,
甘肃省	,	,3936	,3568	,2472	,2253	,1446	,1154	,1280	,1340	,1308	,1238	,812	,785	,704	,552	,
青海省	,	,719	,561	,458	,454	,333	,292	,298	,240	,271	,207	,110	,91	,101	,70	,
宁夏回族自治区	,	,1779	,1522	,1204	,1103	,703	,598	,744	,657	,560	,442	,243	,184	,140	,103	,
新疆维吾尔自治区	,	,2412	,2398	,1711	,1153	,859	,856	,923	,950	,910	,950	,605	,540	,456	,302	,
数据来源：国家统计局
