数据库：分省年度数据 
时间：2011年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,2015年	,2014年	,2013年	,2012年	,2011年	,
北京市	,	,210052	,205179	,189198	,167608	,145035	,129930	,117664	,99167	,104643	,88930	,78129	,67554	,52720	,45057	,
天津市	,	,27037	,24263	,21466	,21370	,22057	,24574	,26661	,25652	,38153	,28510	,23391	,21946	,13587	,10623	,
河北省	,	,29885	,28929	,24182	,23923	,22131	,20536	,18954	,13982	,14141	,11259	,8332	,7329	,6108	,4651	,
山西省	,	,13598	,11387	,9891	,10059	,9472	,8424	,9395	,7379	,8208	,5680	,6107	,6025	,5417	,4602	,
内蒙古自治区	,	,11625	,8248	,6676	,5998	,5381	,4889	,3757	,2845	,2878	,2254	,1924	,1935	,1492	,1267	,
辽宁省	,	,27554	,25496	,23080	,23078	,21830	,22592	,25476	,20500	,25561	,19332	,18417	,25292	,19740	,14658	,
吉林省	,	,21148	,17576	,15518	,12680	,11113	,11269	,10530	,7780	,7537	,6154	,5288	,4549	,3913	,3334	,
黑龙江省	,	,16248	,14726	,14770	,15018	,13163	,13125	,12017	,10607	,13177	,14663	,13468	,10338	,7068	,5063	,
上海市	,	,100217	,97066	,89448	,92527	,81042	,71398	,62755	,54630	,54339	,46976	,39133	,39157	,37139	,32142	,
江苏省	,	,229685	,191877	,194983	,188241	,177995	,172409	,198801	,187005	,184632	,154608	,146660	,141259	,110091	,84678	,
浙江省	,	,132051	,117996	,122807	,129821	,129708	,112981	,143081	,98975	,93254	,67674	,52406	,42744	,33265	,24745	,
安徽省	,	,65961	,67093	,65368	,64106	,69663	,62743	,108782	,93527	,95963	,68314	,49960	,34857	,19391	,10982	,
福建省	,	,37756	,33730	,30581	,31093	,32929	,30019	,37252	,26456	,27041	,17663	,12529	,9884	,8492	,6896	,
江西省	,	,21702	,20186	,20625	,19171	,20285	,14101	,14519	,11507	,8202	,5722	,4688	,3931	,3023	,2796	,
山东省	,	,110207	,96906	,88744	,82481	,74420	,69350	,72764	,67772	,88359	,93475	,77298	,67642	,40381	,25623	,
河南省	,	,32064	,30637	,33183	,34950	,32609	,30260	,46868	,35625	,28582	,21338	,19646	,15580	,10910	,8833	,
湖北省	,	,65626	,59068	,55207	,51690	,47767	,47450	,50664	,51569	,43789	,30204	,22536	,18189	,14640	,10327	,
湖南省	,	,38671	,35007	,35851	,36746	,48530	,39104	,35414	,31365	,25524	,19499	,14474	,11938	,9974	,8774	,
广东省	,	,259373	,240223	,236957	,242551	,215926	,203311	,216469	,182639	,155581	,103941	,75147	,68990	,60448	,52012	,
广西壮族自治区	,	,14341	,12471	,13611	,13693	,12854	,12412	,20302	,37976	,43078	,30815	,22237	,14382	,6511	,2757	,
海南省	,	,5873	,4681	,4402	,4497	,2618	,2183	,2127	,1627	,1278	,1211	,969	,921	,865	,732	,
重庆市	,	,32663	,30517	,28907	,24068	,22273	,20103	,22686	,19297	,19981	,35086	,19418	,12562	,11402	,8839	,
四川省	,	,58261	,53454	,48283	,45358	,41417	,39539	,53805	,64642	,54277	,40437	,29926	,23510	,16368	,11808	,
贵州省	,	,12230	,11954	,10732	,9869	,10693	,10770	,14992	,13885	,10953	,7538	,8203	,3988	,3103	,2358	,
云南省	,	,14231	,12493	,12036	,10293	,9753	,8996	,9606	,7801	,7907	,6301	,4732	,3961	,3324	,2796	,
西藏自治区	,	,836	,625	,585	,515	,477	,456	,453	,273	,176	,128	,92	,92	,81	,101	,
陕西省	,	,48686	,41729	,38569	,38643	,38262	,34812	,30888	,46607	,22565	,17322	,24399	,26487	,17043	,13037	,
甘肃省	,	,9215	,7052	,7005	,6423	,5684	,6056	,6035	,5785	,6114	,5504	,4986	,3735	,3265	,2105	,
青海省	,	,2109	,1790	,1459	,1585	,1417	,1232	,1287	,949	,1381	,1103	,660	,520	,298	,204	,
宁夏回族自治区	,	,4417	,3518	,3358	,3054	,2574	,2525	,2999	,2561	,2510	,2626	,2183	,1792	,846	,442	,
新疆维吾尔自治区	,	,7312	,5484	,4951	,4395	,3776	,3544	,3665	,3207	,3598	,3024	,2360	,2081	,1679	,1273	,
数据来源：国家统计局
