N,firms,r2_within,r2_overall,policy_exposure_coef,policy_exposure_se,policy_exposure_p,manufacturing_post2021_coef,manufacturing_post2021_se,manufacturing_post2021_p,ln_assets_coef,ln_assets_se,ln_assets_p,roa_coef,roa_se,roa_p,cashflow_ratio_coef,cashflow_ratio_se,cashflow_ratio_p,firm_age_coef,firm_age_se,firm_age_p,dependent
22329,4069,0.07972577023974248,0.05700942478860538,1.1598991982495646e-05,4.438820921208029e-06,0.008980400946340117,0.27834511723563143,0.06678099944486451,3.086613574887487e-05,-1.0386428524468565,0.06723875455088313,0.0,-0.3943926273376204,0.20071827919583896,0.04944022050720176,0.053426490871094544,0.2473068245407216,0.8289642636068772,,,,eff_apply_rd_10k
22329,4069,0.08014359482309485,0.05808037985290604,4.5187303742989746e-06,2.749412362139091e-06,0.10029140084317678,0.2776056295071193,0.06633567316342819,2.8667493284117995e-05,-1.0113952643430786,0.06630847131962415,0.0,-0.4732889560529789,0.1944771049051827,0.014957024213465564,0.1587697655227096,0.24177944272789922,0.5114001877298615,,,,eff_grant_rd_10k
22329,4069,0.06772109230446355,0.04917471373575155,1.3137949974962304e-05,4.086965129119506e-06,0.0013085451362879752,0.19290500393549478,0.056954556079878066,0.0007081087377807105,-0.8228993702388617,0.051016690838515094,0.0,-0.022732976021253955,0.14734357981162524,0.877386345742003,0.19561225229817003,0.1900756217813766,0.3034329025688769,,,,eff_apply_staff
22329,4069,0.0678839197173331,0.05032273122092923,6.057688366765566e-06,3.1214299883080166e-06,0.05231280867260635,0.1921655162069824,0.056155507334975825,0.0006229303756282167,-0.7956517821350843,0.050390956518528304,0.0,-0.10162930473661205,0.14176676448767692,0.4734592911923623,0.30095552694978506,0.18614776147577772,0.10594822479547505,,,,eff_grant_staff
