N,firms,r2_within,r2_overall,manufacturing_post2021_coef,manufacturing_post2021_se,manufacturing_post2021_p,did_x_private_coef,did_x_private_se,did_x_private_p,ln_assets_coef,ln_assets_se,ln_assets_p,roa_coef,roa_se,roa_p,cashflow_ratio_coef,cashflow_ratio_se,cashflow_ratio_p,firm_age_coef,firm_age_se,firm_age_p,dependent,model
25159,5262,0.07425752634085514,0.055466442282910644,0.12418706893274993,0.11236376230239246,0.26907613384299145,0.16687732713972736,0.10001712236373325,0.09523471608787859,-1.0304144925073333,0.06662419701031859,0.0,-0.21636680423706273,0.19062338214979768,0.25636863312499747,0.016115086518167683,0.2351415885567957,0.9453616072174214,,,,eff_apply_rd_10k,交互项-非国企
25159,5262,0.07404381889906275,0.05656163717344542,0.28088365360115947,0.11089753599980191,0.011322480160551596,0.007189097022974324,0.0980421087024551,0.9415469418054159,-1.0070793866965635,0.06591722469989858,0.0,-0.2900774031668821,0.18509889578744698,0.11709596315927673,0.10804653232646334,0.22974633286140855,0.6381557050921627,,,,eff_grant_rd_10k,交互项-非国企
25159,5262,0.05666902048235656,0.04547068921927766,0.14844313790283997,0.11483576151788989,0.1961450746932345,0.07558922095943506,0.10946755577268703,0.4898771085518485,-0.7514340461889476,0.04831780938945018,0.0,-0.0702397940241695,0.13748171159988168,0.6094247784816915,0.10256938102215442,0.17573355189398449,0.5594528845287905,,,,eff_apply_staff,交互项-非国企
25159,5262,0.05741111081383321,0.047335861672478496,0.3051397225712499,0.1109878769708087,0.005977537366702368,-0.08409900915731831,0.10520176683454609,0.42406410886832857,-0.7280989403781781,0.047764053466900096,0.0,-0.1439503929539889,0.13255722478741694,0.27751469507568993,0.19450082683045022,0.17205369223075498,0.25829360547014835,,,,eff_grant_staff,交互项-非国企
23028,5012,0.0710681944679713,0.053953463698484305,0.26945055567781995,0.06582265293954098,4.266087605020452e-05,,,,-0.9938936199876941,0.0691426177780226,0.0,-0.1726286084911175,0.19321469368850966,0.37162557175217303,0.023381165264745953,0.244190555900101,0.923720456223516,,,,eff_apply_rd_10k,分组-国企
23028,5012,0.0735312299569919,0.056466045539583565,0.27160824723058363,0.065550816560248,3.436429355008208e-05,,,,-0.9849263293145826,0.06763289264997079,0.0,-0.23621353940774,0.1868816133499096,0.20625564580398525,0.11446982809919282,0.2375415575530292,0.6298871747551338,,,,eff_grant_rd_10k,分组-国企
23028,5012,0.05653402305097355,0.045821123529821484,0.20707718832998814,0.05140503385339149,5.6401471830502814e-05,,,,-0.7363686747069433,0.05119613834038348,0.0,-0.055014827816555714,0.13868260559380327,0.6915963889583303,0.035708054311529014,0.1806338734365816,0.8432961529487462,,,,eff_apply_staff,分组-国企
23028,5012,0.05979307039976467,0.049096117006491746,0.2092348798827518,0.050897798507960015,3.958962528027854e-05,,,,-0.727401384033832,0.05030366266200393,0.0,-0.1185997587331785,0.13306179829278397,0.3727729916573601,0.1267967171459762,0.1763144166632106,0.47205712085410867,,,,eff_grant_staff,分组-国企
2131,524,0.07381505387952636,0.03680597039160627,0.21048049790612328,0.2230863647788811,0.34557124356833047,,,,-1.0442846250257563,0.24247249215341393,1.7569932665884025e-05,-0.48506292888871483,1.439560679988335,0.7361972905817393,0.07246410339587486,0.9630381287850533,0.9400289519091998,,,,eff_apply_rd_10k,分组-非国企
2131,524,0.05434564817332477,0.032911098069274725,0.34018656922725643,0.21983085685466025,0.12194257515726936,,,,-0.9193890408442998,0.262221577566724,0.00046719735726741263,-0.29341710675173616,1.277917736725477,0.8184276160959212,-0.07714879457788106,0.9270512110368349,0.9336873823434133,,,,eff_grant_rd_10k,分组-非国企
2131,524,0.04691703520788537,0.03356998360451546,0.3042061581527329,0.19128598341130623,0.11196021757513042,,,,-0.7968409469787456,0.1618653003215247,9.410293055900354e-07,-0.5392124579079264,1.143535911348306,0.6373260661517453,0.6382083073606704,0.7572576086969298,0.39947263994870297,,,,eff_apply_staff,分组-非国企
2131,524,0.03330091177223893,0.03133227816293516,0.4339122294738661,0.1841863267382397,0.01860144687339149,,,,-0.6719453627972882,0.17057431804924114,8.523477885424846e-05,-0.34756663577094843,0.9400073178298182,0.7116186146469361,0.48859540938691387,0.7055613108321294,0.48872916013491263,,,,eff_grant_staff,分组-非国企
