N,firms,r2_within,r2_overall,high_pre_rd_post2021_coef,high_pre_rd_post2021_se,high_pre_rd_post2021_p,ln_assets_coef,ln_assets_se,ln_assets_p,roa_coef,roa_se,roa_p,cashflow_ratio_coef,cashflow_ratio_se,cashflow_ratio_p,firm_age_coef,firm_age_se,firm_age_p,dependent,treatment,high_pre_rd_q4_post2021_coef,high_pre_rd_q4_post2021_se,high_pre_rd_q4_post2021_p
16740,3567,0.09146701872048701,0.05734717558988034,0.19765575191104007,0.05026830666787814,8.466829279285548e-05,-0.9133817807623383,0.058709223843803844,0.0,-0.525146053618186,0.23533303247125353,0.02566468589175308,-0.05243268463215195,0.256195473067455,0.8378417949115478,,,,eff_apply_rd_10k,high_pre_rd_post2021,,,
16740,3567,0.09833924425024543,0.056312251895829446,,,,-0.904403423612207,0.05869075342829031,0.0,-0.5376639153544285,0.23520826871412157,0.02227559327965012,-0.06440486704795323,0.2567249270374541,0.8019176776623955,,,,eff_apply_rd_10k,high_pre_rd_q4_post2021,0.1571999728502018,0.05372950860230102,0.00344196137841557
16740,3567,0.09389311634713193,0.06314367687345335,0.24446340705705133,0.047587088216189316,2.828801259902036e-07,-0.8867094816918829,0.054775397846503704,0.0,-0.6141616289990521,0.21720761613407796,0.004697902101157281,0.10207155505158544,0.24544467445015694,0.6775164488885865,,,,eff_grant_rd_10k,high_pre_rd_post2021,,,
16740,3567,0.10228820490565171,0.06097795611730017,,,,-0.8754574894646752,0.054815719291825785,0.0,-0.6287311719162542,0.21689735514233488,0.0037527242881620904,0.0869855986840179,0.2461305659104508,0.723784936060887,,,,eff_grant_rd_10k,high_pre_rd_q4_post2021,0.1715548349264494,0.05241455309777558,0.0010667236799035695
16740,3567,0.06499777451735644,0.04279740390792086,0.12360127233758286,0.05374396932083168,0.0214741834767882,-0.7886475711377386,0.05474517155021561,0.0,0.16878552110927533,0.18151581479786577,0.3524571303428454,0.1457512720467139,0.22215428222440958,0.5117832774221951,,,,eff_apply_staff,high_pre_rd_post2021,,,
16740,3567,0.06668904977949908,0.04296326315501209,,,,-0.7834016727406575,0.05470179351630546,0.0,0.15867579767006026,0.18141402214760421,0.38177426046092666,0.13896113045451203,0.2223845891144724,0.5320681812125267,,,,eff_apply_staff,high_pre_rd_q4_post2021,0.15548462527223797,0.05829561491884039,0.00765853286185969
16740,3567,0.06564169882652926,0.04618499162891787,0.17040892748359404,0.051432422587961324,0.0009246431593814552,-0.761975272067283,0.05136736723517312,0.0,0.07976994572840991,0.1634890944917389,0.6256131313990625,0.30025551173045106,0.2195411521119002,0.17144492689506685,,,,eff_grant_staff,high_pre_rd_post2021,,,
16740,3567,0.06745960599511258,0.045751504437236745,,,,-0.7544557385931253,0.0513489319917923,0.0,0.06760854110823447,0.16313904337254562,0.6785712378475819,0.29035159618648404,0.21985326580767195,0.18663743928500942,,,,eff_grant_staff,high_pre_rd_q4_post2021,0.16983948734848578,0.058451638649166505,0.0036711200325467708
