,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
ln_invention_apply,26772.0,0.39568888788523904,1.1183852836185115,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,4.962844630259907,9.089414904047302
ln_invention_grant,26772.0,0.3068291367778693,0.9022363640556862,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,4.219507705176107,8.092851027538384
ln_patent_apply_total,26772.0,0.5898744823693419,1.4896323275830026,0.0,0.0,0.0,0.0,0.0,0.0,4.31748811353631,5.994683719087183,9.737137765251871
ln_patent_grant_total,26772.0,0.5374165858655828,1.3954336250244668,0.0,0.0,0.0,0.0,0.0,0.0,4.0943445622221,5.751234261935069,9.502935356288608
rd_intensity,22829.0,0.05383365484208609,0.05657352118381163,0.000289410320203786,0.0002938679530191278,0.0018470319822468859,0.021447199721929242,0.03949738824032504,0.06263591860327507,0.16610526807565287,0.3004022305902179,0.4014319500286057
ln_rd_staff,26772.0,4.468060631786441,2.3888607977897047,0.0,0.0,0.0,3.8066624897703196,5.081404364984463,6.008813185442595,7.449439662812681,8.687460115991634,11.151926901932331
rd_staff_ratio,21953.0,0.17034294779756753,0.13873653182770834,0.004,0.004091999999999999,0.015600000000000001,0.0849,0.1346,0.2101,0.4711,0.6950959999999999,0.7198839999999997
ln_assets,26772.0,22.2167698274514,1.531986041386503,19.04066623402238,19.047148758644788,20.013579867751094,21.19541063145939,22.017901100276667,23.030863815889763,25.084223077613853,26.994406214427915,27.203320676802335
roa,26771.0,0.04125888443430638,0.08841216587467708,-0.3513654918020112,-0.3513654918020112,-0.11425721058579175,0.01504025963576825,0.0452507037065289,0.08361182131456754,0.1653247255040313,0.2463807774797201,0.2463807774797201
firm_age,25831.0,20.26944369168828,5.9858805085690445,7.0,8.0,11.0,16.0,20.0,24.0,30.0,36.0,38.0
cashflow_ratio,26770.0,0.048273350213490246,0.07211107386002677,-0.1718021094883041,-0.16166380572949307,-0.06995775593715811,0.008435453816879124,0.0471778400761636,0.08907160430021614,0.16943915479644495,0.2506076096492173,0.2519741206271185
ln_rd_subsidy,26772.0,9.690277897714648,7.1319761098399725,0.0,0.0,0.0,0.0,13.632895344523124,15.350912853957901,17.084179503510796,18.29141235221169,21.474823897155673
pre_rd_intensity,22342.0,0.048607820384617806,0.047393984372959205,0.000289410320203786,0.000289410320203786,0.00158041250247904,0.019144931042816,0.03774792184887663,0.05801370134696657,0.14601835139012545,0.24891174418376694,0.3181519683290545
policy_exposure,22342.0,0.01259511268337255,0.030258650119970205,0.0,0.0,0.0,0.0,0.0,0.0008304283901468235,0.06620284734806463,0.14301469037604578,0.3181519683290545
province_sci_tech_ratio,25813.0,0.03972943478092433,0.017452868585425187,0.0054,0.0067,0.009300000000000001,0.0245,0.044000000000000004,0.053099999999999994,0.0654,0.0676,0.0676
province_rd_intensity,25813.0,0.02755939982409364,0.012305073955850896,0.004319109253831807,0.004904615525434588,0.009141255376374592,0.020752718179836527,0.026548967910958333,0.030790548167129884,0.059198665336134854,0.06287370860458534,0.06287370860458534
manufacturing,26772.0,0.625280143433438,0.4840595395729384,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
soe,25159.0,0.08470129973369371,0.2784422223028732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
hightech_mfg,26772.0,0.40986851934857316,0.4918184128394878,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
