dependent,coef,se,p_value,nobs
ln_invention_apply,-0.0195,0.0246,0.4273,25831
ln_invention_grant,-0.0098,0.0229,0.6677,25831
ln_rd_expense_10k,-0.2828,0.0568,0.0,25831
ln_rd_staff,-0.1941,0.0443,0.0,25831
eff_invention_apply_rd_10k,0.2653,0.0616,0.0,25831
eff_invention_grant_rd_10k,0.2766,0.061,0.0,25831
eff_invention_apply_staff,0.1739,0.0492,0.0004,25831
eff_invention_grant_staff,0.1844,0.0486,0.0001,25831
