dependent,coef,se,p_value,nobs,firms,r2
eff_invention_apply_rd_10k,0.2653,0.0616,0.0,25831,5262,-0.0963
eff_invention_grant_rd_10k,0.2766,0.061,0.0,25831,5262,-0.1687
eff_invention_apply_staff,0.1739,0.0492,0.0004,25831,5262,0.0049
eff_invention_grant_staff,0.1844,0.0486,0.0001,25831,5262,-0.0843
